player,team,league,position,age,minutes,league_strength,progressive_carries_p90,progressive_passes_p90,crosses_p90,xA_p90,touches_att_3rd_p90,tackles_p90,interceptions_p90,miscontrols_p90,aerial_win_pct,clearances_p90,pass_completion_pct,errors_p90,npxG_p90,shots_p90,touches_box_p90,goals_p90,pressures_p90,tackles_interceptions_p90,market_value_eur,injury_days_last_2y
CEL Player 016,Celtic,Scottish Premiership,AM,17,2592,0.68,2.513,6.276,0.375,0.066,14.621,1.415,1.446,1.365,48.016,0.795,40.094,0.035,0.135,1.552,2.529,0.108,18.827,2.861,3528374,12
ABE Player 017,Aberdeen,Scottish Premiership,LW,27,1294,0.62,4.138,2.909,2.457,0.096,24.097,0.613,0.357,2.039,42.435,0.503,82.657,0.051,0.233,2.8,4.756,0.142,15.099,0.97,2116711,6
ABE Player 018,Aberdeen,Scottish Premiership,AM,31,651,0.62,2.181,5.939,0.613,0.069,28.847,1.667,1.317,1.083,43.982,1.359,83.771,0.043,0.195,1.399,1.955,0.145,18.636,2.984,3293108,31
ABE Player 019,Aberdeen,Scottish Premiership,CM,32,2900,0.62,2.081,6.363,0.504,0.115,18.057,1.928,1.178,0.898,28.499,0.942,76.077,0.078,0.146,0.897,2.156,0.056,18.078,3.106,2782954,40
ABE Player 020,Aberdeen,Scottish Premiership,DM,19,1554,0.62,2.713,8.311,0.798,0.201,23.407,2.76,1.942,1.817,54.788,2.081,95.0,0.008,0.196,1.375,2.998,0.075,23.647,4.702,6234795,0
ABE Player 021,Aberdeen,Scottish Premiership,CB,21,573,0.62,0.482,4.513,0.028,0.0,2.949,0.398,0.994,0.199,38.876,3.611,59.908,0.066,0.0,0.485,0.495,0.0,4.557,1.392,460320,83
ABE Player 022,Aberdeen,Scottish Premiership,CB,25,1717,0.62,1.004,3.998,0.129,0.085,3.498,1.578,1.836,0.425,43.953,4.637,71.44,0.039,0.08,0.569,1.272,0.085,4.93,3.414,9351546,35
ABE Player 023,Aberdeen,Scottish Premiership,CM,25,2872,0.62,1.856,4.362,0.47,0.048,14.612,1.756,1.479,1.3,40.149,1.404,94.407,0.028,0.119,1.13,1.4,0.065,19.797,3.235,2644956,28
ABE Player 024,Aberdeen,Scottish Premiership,DM,29,1385,0.62,1.123,4.224,0.591,0.068,21.357,3.117,1.358,1.139,52.354,1.967,66.329,0.073,0.045,0.866,1.918,0.06,22.917,4.475,3133874,0
ABE Player 025,Aberdeen,Scottish Premiership,LW,29,1142,0.62,4.231,3.013,2.026,0.073,30.936,0.573,0.582,1.405,35.45,0.381,50.031,0.041,0.174,2.549,3.676,0.142,15.638,1.155,1280214,38
ABE Player 026,Aberdeen,Scottish Premiership,RW,29,873,0.62,4.234,3.417,1.259,0.01,19.451,0.523,0.403,1.073,28.923,0.408,30.869,0.095,0.155,1.35,3.001,0.112,5.829,0.926,604192,25
ABE Player 027,Aberdeen,Scottish Premiership,CB,31,832,0.62,1.021,3.587,0.125,0.086,4.023,0.878,1.814,0.267,62.124,4.744,61.265,0.054,0.037,0.279,1.35,0.059,4.638,2.692,1616642,45
ABE Player 028,Aberdeen,Scottish Premiership,RW,26,1823,0.62,4.154,3.388,2.343,0.222,28.268,0.768,0.57,2.65,47.117,0.477,72.118,0.021,0.274,1.252,3.877,0.14,9.319,1.338,2780394,6
ABE Player 029,Aberdeen,Scottish Premiership,LB,23,879,0.62,3.368,3.591,2.028,0.121,17.079,1.909,1.189,1.587,35.377,1.981,74.18,0.0,0.056,0.369,1.183,0.014,15.844,3.098,1158500,3
ABE Player 030,Aberdeen,Scottish Premiership,RB,25,2048,0.62,1.79,4.287,2.187,0.088,14.862,1.562,1.074,1.426,46.106,1.078,32.271,0.065,0.0,0.196,1.324,0.023,15.895,2.636,2097497,20
ABE Player 031,Aberdeen,Scottish Premiership,RWB,23,890,0.62,4.488,6.629,2.654,0.196,24.728,2.268,1.795,1.922,62.723,2.746,95.0,0.011,0.069,0.396,2.373,0.151,19.73,4.063,8978472,61
ABE Player 032,Aberdeen,Scottish Premiership,CB,20,1808,0.62,0.672,3.988,0.099,0.094,4.744,1.211,1.797,0.305,59.933,3.558,82.071,0.024,0.062,0.543,0.715,0.027,6.032,3.008,4701445,55
ABE Player 033,Aberdeen,Scottish Premiership,DM,20,1773,0.62,2.606,6.581,0.611,0.062,17.67,2.352,1.689,1.209,52.612,1.36,76.352,0.028,0.121,1.21,1.635,0.062,25.328,4.041,2558716,22
ABE Player 034,Aberdeen,Scottish Premiership,CM,29,120,0.62,2.72,4.274,0.583,0.082,15.636,1.768,1.866,1.839,47.056,1.714,87.534,0.034,0.117,1.233,3.367,0.116,17.215,3.634,3277242,14
HEA Player 035,Hearts,Scottish Premiership,RB,24,1731,0.61,2.993,4.89,1.536,0.127,14.495,1.212,1.188,1.426,38.834,2.336,57.193,0.018,0.029,0.423,1.2,0.049,13.186,2.4,1597724,1
HEA Player 036,Hearts,Scottish Premiership,RWB,24,1531,0.61,3.406,3.622,1.982,0.063,19.527,2.169,1.129,0.737,30.882,1.721,71.411,0.029,0.024,0.495,1.338,0.0,14.597,3.298,1961388,32
HEA Player 037,Hearts,Scottish Premiership,LW,30,1145,0.61,4.929,2.777,2.522,0.179,32.907,1.061,0.815,2.47,50.565,0.739,95.0,0.037,0.199,2.486,4.725,0.227,18.127,1.876,6126344,89
HEA Player 038,Hearts,Scottish Premiership,CM,23,1599,0.61,2.181,6.416,0.798,0.113,20.135,1.387,1.376,1.545,56.348,1.252,95.0,0.064,0.112,1.023,2.136,0.0,20.469,2.763,840023,2
HEA Player 039,Hearts,Scottish Premiership,RW,19,1087,0.61,4.377,4.517,2.328,0.217,44.635,0.953,0.578,2.514,40.507,0.446,83.497,0.035,0.263,2.327,5.03,0.21,20.605,1.531,4100249,1
HEA Player 040,Hearts,Scottish Premiership,AM,18,1838,0.61,1.949,5.728,0.722,0.159,27.659,1.395,1.571,1.294,46.034,1.476,95.0,0.062,0.14,1.61,3.143,0.11,20.553,2.966,5395128,20
HEA Player 041,Hearts,Scottish Premiership,CM,27,1551,0.61,2.35,5.022,0.715,0.125,14.29,2.393,1.317,0.923,39.927,1.004,87.255,0.03,0.135,1.22,2.208,0.097,22.117,3.71,1599996,14
HEA Player 042,Hearts,Scottish Premiership,RWB,24,2229,0.61,3.313,4.691,3.099,0.115,20.56,2.278,1.237,1.825,57.51,1.903,95.0,0.02,0.035,0.388,1.552,0.077,12.368,3.515,7531073,0
HEA Player 043,Hearts,Scottish Premiership,LW,34,654,0.61,4.947,3.525,2.401,0.222,34.377,1.174,0.651,3.087,36.672,0.582,72.169,0.044,0.261,2.388,4.196,0.195,13.729,1.825,2361531,23
HEA Player 044,Hearts,Scottish Premiership,DM,22,2482,0.61,1.998,5.802,0.625,0.112,17.057,1.619,1.21,1.508,46.748,1.31,85.569,0.041,0.081,1.402,2.69,0.097,23.256,2.829,6215208,58
HEA Player 045,Hearts,Scottish Premiership,CB,26,836,0.61,0.732,3.701,0.173,0.075,5.526,1.236,1.451,0.311,68.479,4.949,95.0,0.05,0.021,0.587,1.193,0.021,5.185,2.687,3607105,15
HEA Player 046,Hearts,Scottish Premiership,RB,23,186,0.61,2.352,3.4,2.923,0.067,20.707,1.539,1.08,1.225,40.205,2.473,33.444,0.028,0.004,0.412,1.481,0.0,14.255,2.619,2041579,31
HEA Player 047,Hearts,Scottish Premiership,CB,22,2003,0.61,0.912,5.231,0.005,0.0,3.103,1.129,1.636,0.214,50.607,3.785,95.0,0.041,0.029,0.392,0.695,0.029,4.069,2.765,3330654,2
HEA Player 048,Hearts,Scottish Premiership,CM,25,1821,0.61,2.025,3.544,0.581,0.06,10.193,1.401,1.28,1.253,39.04,1.377,86.573,0.068,0.138,1.357,1.192,0.0,21.632,2.681,1043522,9
HEA Player 049,Hearts,Scottish Premiership,RB,24,1127,0.61,2.175,3.344,3.439,0.092,19.736,1.396,1.058,1.087,20.0,1.287,43.444,0.013,0.063,0.364,1.766,0.016,13.983,2.454,1388492,40
HEA Player 050,Hearts,Scottish Premiership,ST,26,1918,0.61,0.993,1.185,0.381,0.087,17.062,0.47,0.314,2.538,59.733,0.714,52.833,0.015,0.434,2.653,4.854,0.183,12.596,0.784,1361642,55
HEA Player 051,Hearts,Scottish Premiership,CM,25,1078,0.61,2.159,4.768,0.764,0.062,20.24,1.699,1.517,1.086,43.904,1.082,62.862,0.059,0.105,1.355,2.429,0.036,18.985,3.216,1555197,26
HEA Player 052,Hearts,Scottish Premiership,AM,25,1408,0.61,1.844,3.85,0.781,0.168,27.924,1.58,1.594,2.007,62.788,1.413,87.6,0.0,0.176,1.877,2.153,0.1,17.323,3.174,3989024,19
HIB Player 053,Hibernian,Scottish Premiership,CB,26,2040,0.59,0.426,3.082,0.142,0.0,3.601,0.881,1.922,0.25,65.141,4.873,95.0,0.06,0.0,0.604,0.9,0.0,4.827,2.803,1615385,30
HIB Player 054,Hibernian,Scottish Premiership,CM,18,1469,0.59,1.427,4.545,0.759,0.133,21.086,2.63,1.656,1.587,78.297,1.256,77.146,0.041,0.101,0.971,3.102,0.105,17.909,4.286,5993052,18
HIB Player 055,Hibernian,Scottish Premiership,RW,19,1779,0.59,5.423,3.232,2.256,0.201,35.363,0.923,0.848,1.942,49.068,0.577,95.0,0.037,0.332,2.985,4.077,0.251,20.968,1.771,4992763,15
HIB Player 056,Hibernian,Scottish Premiership,DM,25,1739,0.59,2.844,3.138,0.668,0.138,14.875,2.583,2.397,1.247,59.717,1.431,86.523,0.014,0.163,0.883,3.099,0.138,21.666,4.98,8351465,0
HIB Player 057,Hibernian,Scottish Premiership,CB,23,1230,0.59,0.962,3.926,0.109,0.002,4.132,1.016,2.34,0.185,73.316,5.418,63.831,0.076,0.061,0.468,0.976,0.004,5.042,3.356,3286904,30
HIB Player 058,Hibernian,Scottish Premiership,CM,28,1975,0.59,2.071,4.699,0.549,0.057,20.463,1.931,1.402,0.648,40.32,1.576,79.392,0.005,0.18,1.167,2.295,0.185,26.462,3.333,3727418,9
HIB Player 059,Hibernian,Scottish Premiership,LW,24,1293,0.59,4.728,4.581,2.388,0.275,37.426,1.095,0.619,2.212,44.38,0.687,88.808,0.0,0.201,1.727,5.271,0.249,18.774,1.714,2846340,13
HIB Player 060,Hibernian,Scottish Premiership,CB,18,1296,0.59,1.165,5.269,0.156,0.084,5.441,1.251,2.347,0.279,78.763,5.582,90.841,0.02,0.048,0.567,1.082,0.094,4.873,3.598,9190592,0
HIB Player 061,Hibernian,Scottish Premiership,RWB,29,1764,0.59,3.008,2.489,2.415,0.174,18.019,1.68,1.301,1.615,25.879,1.276,79.299,0.058,0.011,0.235,1.081,0.0,12.061,2.981,2059825,15
HIB Player 062,Hibernian,Scottish Premiership,CB,23,162,0.59,1.067,4.544,0.158,0.0,5.903,1.059,2.081,0.221,55.057,6.198,85.839,0.049,0.054,0.673,1.129,0.0,4.567,3.14,3892577,31
HIB Player 063,Hibernian,Scottish Premiership,CB,22,1312,0.59,0.638,2.757,0.09,0.011,3.223,0.908,1.467,0.201,37.542,2.911,59.466,0.067,0.028,0.259,0.924,0.0,4.516,2.375,1313070,9
HIB Player 064,Hibernian,Scottish Premiership,CB,28,120,0.59,1.151,4.044,0.132,0.002,4.07,0.861,0.973,0.369,52.358,4.277,64.193,0.043,0.021,0.559,1.245,0.053,5.446,1.834,4143156,5
HIB Player 065,Hibernian,Scottish Premiership,CB,29,625,0.59,1.111,4.257,0.098,0.002,3.543,1.224,1.55,0.286,60.651,3.721,89.791,0.018,0.044,0.405,1.186,0.022,5.574,2.774,2559012,29
HIB Player 066,Hibernian,Scottish Premiership,RW,30,1793,0.59,3.63,2.697,2.317,0.192,35.579,1.077,0.466,2.913,39.585,0.544,62.634,0.0,0.281,1.745,5.016,0.188,21.812,1.543,3937373,6
HIB Player 067,Hibernian,Scottish Premiership,RWB,26,1299,0.59,1.843,4.722,1.549,0.123,17.952,2.463,0.902,1.332,59.908,2.42,64.926,0.032,0.034,0.333,1.431,0.0,12.982,3.365,2882826,19
HIB Player 068,Hibernian,Scottish Premiership,DM,25,1078,0.59,1.332,3.958,0.515,0.141,15.092,2.364,1.443,1.321,45.026,1.643,71.327,0.015,0.07,0.788,2.097,0.043,27.384,3.807,1257340,29
HIB Player 069,Hibernian,Scottish Premiership,AM,25,120,0.59,3.663,4.876,0.648,0.178,23.298,1.642,0.803,1.504,48.278,0.991,87.46,0.027,0.161,1.088,3.218,0.042,17.022,2.445,5065105,58
HIB Player 070,Hibernian,Scottish Premiership,LW,22,1597,0.59,4.044,2.795,1.923,0.103,27.036,0.95,0.439,2.127,29.419,0.513,69.508,0.04,0.163,2.391,3.738,0.138,17.076,1.389,2543333,50
ST  Player 071,St Mirren,Scottish Premiership,RW,21,1182,0.55,5.156,4.127,3.171,0.152,34.38,0.717,0.586,2.213,32.217,0.461,82.728,0.036,0.213,3.557,4.583,0.196,13.965,1.303,8881202,54
ST  Player 072,St Mirren,Scottish Premiership,CM,25,821,0.55,2.675,6.212,0.413,0.105,23.635,2.553,1.956,1.114,59.318,1.654,70.037,0.031,0.132,0.886,2.221,0.101,21.771,4.509,4592156,8
ST  Player 073,St Mirren,Scottish Premiership,LB,23,1283,0.55,1.755,4.979,2.527,0.104,21.658,1.055,0.74,1.492,45.435,2.09,71.655,0.048,0.052,0.384,0.884,0.054,16.321,1.795,3585219,8
ST  Player 074,St Mirren,Scottish Premiership,CM,30,980,0.55,2.245,5.118,0.45,0.11,19.594,1.783,1.423,1.197,60.887,0.951,70.995,0.06,0.033,0.782,1.131,0.065,14.234,3.206,1501923,42
ST  Player 075,St Mirren,Scottish Premiership,AM,23,1986,0.55,2.388,5.321,0.759,0.16,18.196,2.139,1.176,1.741,60.568,1.338,90.342,0.049,0.129,1.579,3.202,0.083,17.742,3.315,2638635,4
ST  Player 076,St Mirren,Scottish Premiership,LB,31,2476,0.55,2.66,4.902,1.784,0.055,7.259,1.459,0.711,1.183,22.168,1.827,78.762,0.024,0.0,0.301,1.033,0.0,11.641,2.17,829720,13
ST  Player 077,St Mirren,Scottish Premiership,RB,26,1465,0.55,2.358,4.863,2.759,0.1,20.905,1.561,1.412,1.659,22.089,2.625,36.252,0.044,0.036,0.312,1.283,0.08,8.97,2.973,5864071,19
ST  Player 078,St Mirren,Scottish Premiership,ST,20,2113,0.55,1.042,1.712,0.366,0.164,17.993,0.704,0.324,2.053,45.717,0.557,59.974,0.0,0.248,2.833,4.146,0.3,12.685,1.028,3482460,101
ST  Player 079,St Mirren,Scottish Premiership,RWB,17,1124,0.55,2.299,5.434,1.963,0.095,16.355,1.8,1.077,1.36,44.037,1.758,87.583,0.026,0.019,0.474,1.468,0.014,13.608,2.877,5387229,3
ST  Player 080,St Mirren,Scottish Premiership,CB,25,2573,0.55,0.983,3.786,0.116,0.025,3.606,1.201,1.867,0.272,55.638,3.54,95.0,0.05,0.093,0.538,1.251,0.057,5.202,3.068,3727021,116
ST  Player 081,St Mirren,Scottish Premiership,CM,26,1713,0.55,2.112,4.225,0.366,0.105,17.218,1.041,1.662,1.252,39.811,1.379,71.653,0.041,0.081,1.019,1.669,0.0,16.291,2.703,1324141,9
ST  Player 082,St Mirren,Scottish Premiership,RWB,17,1683,0.55,3.372,3.798,2.686,0.07,17.377,1.853,1.02,1.599,33.475,2.003,87.918,0.073,0.0,0.267,1.116,0.032,13.549,2.873,2328614,7
ST  Player 083,St Mirren,Scottish Premiership,CM,29,3300,0.55,2.321,4.916,0.409,0.087,14.857,1.358,1.944,1.428,53.756,1.179,83.78,0.036,0.132,1.105,1.951,0.025,12.32,3.302,3537749,23
ST  Player 084,St Mirren,Scottish Premiership,LB,24,148,0.55,2.721,4.354,1.649,0.079,19.704,1.778,1.045,1.115,34.394,1.967,72.478,0.042,0.035,0.364,1.571,0.027,9.481,2.823,711742,82
ST  Player 085,St Mirren,Scottish Premiership,CB,21,2051,0.55,0.778,4.986,0.05,0.0,4.035,1.253,1.812,0.345,62.382,4.789,76.826,0.055,0.04,0.56,1.185,0.023,4.023,3.065,2741573,23
ST  Player 086,St Mirren,Scottish Premiership,LB,22,1824,0.55,3.214,7.181,2.632,0.145,17.432,1.798,1.414,1.816,53.642,2.76,86.519,0.073,0.078,0.394,1.484,0.014,17.102,3.212,4748987,22
ST  Player 087,St Mirren,Scottish Premiership,AM,21,850,0.55,2.982,5.686,0.519,0.164,20.549,1.661,1.173,1.673,55.373,1.377,95.0,0.004,0.107,1.292,2.228,0.055,18.373,2.834,1859005,31
ST  Player 088,St Mirren,Scottish Premiership,AM,26,1941,0.55,3.586,5.211,0.35,0.079,14.206,1.726,1.303,1.12,65.154,1.278,91.334,0.024,0.12,1.415,1.518,0.073,18.202,3.029,2312183,10
DUN Player 089,Dundee,Scottish Premiership,LW,24,1943,0.52,4.39,2.908,2.434,0.217,31.286,1.03,0.795,3.054,51.988,0.478,84.936,0.017,0.224,1.748,5.052,0.162,18.35,1.825,4115601,1
DUN Player 090,Dundee,Scottish Premiership,DM,26,2970,0.52,2.261,4.252,0.466,0.172,15.274,1.781,1.723,1.32,40.933,1.4,95.0,0.009,0.146,1.245,1.818,0.015,16.803,3.504,4122468,60
DUN Player 091,Dundee,Scottish Premiership,LW,27,120,0.52,3.639,3.333,2.347,0.234,37.027,0.519,0.58,2.534,37.977,0.61,95.0,0.015,0.17,2.169,5.312,0.147,20.005,1.099,4887150,22
DUN Player 092,Dundee,Scottish Premiership,RB,32,1194,0.52,2.825,3.441,2.457,0.052,15.365,1.419,1.082,1.704,43.025,0.892,66.396,0.074,0.0,0.398,1.421,0.063,7.955,2.501,484102,25
DUN Player 093,Dundee,Scottish Premiership,RW,17,1267,0.52,3.877,4.008,2.094,0.223,32.898,0.968,0.66,2.9,36.943,0.572,83.819,0.034,0.329,2.08,4.964,0.221,20.358,1.628,3266754,0
DUN Player 094,Dundee,Scottish Premiership,RW,30,1660,0.52,3.852,2.266,2.344,0.189,30.65,0.91,1.004,2.831,46.545,0.644,95.0,0.0,0.242,2.693,4.074,0.183,15.706,1.914,6314322,40
DUN Player 095,Dundee,Scottish Premiership,LW,24,1678,0.52,1.724,2.486,1.845,0.173,35.161,0.937,0.395,1.732,33.385,0.682,86.535,0.034,0.146,2.133,2.806,0.115,13.357,1.332,2601783,21
DUN Player 096,Dundee,Scottish Premiership,CB,21,1577,0.52,0.841,4.591,0.036,0.0,4.506,1.04,1.135,0.337,75.281,4.413,50.184,0.018,0.05,0.406,0.833,0.01,4.765,2.175,2136542,39
DUN Player 097,Dundee,Scottish Premiership,AM,25,1096,0.52,1.473,4.962,0.495,0.009,18.461,1.289,1.696,0.722,29.175,1.342,95.0,0.036,0.129,0.616,1.362,0.054,22.915,2.985,1372998,29
DUN Player 098,Dundee,Scottish Premiership,LB,22,1539,0.52,2.56,6.409,2.537,0.159,21.062,1.746,1.226,1.784,63.799,2.385,95.0,0.0,0.114,0.553,2.609,0.06,14.651,2.972,9942096,40
DUN Player 099,Dundee,Scottish Premiership,CB,26,1012,0.52,0.872,4.6,0.064,0.0,2.27,0.839,1.17,0.276,44.204,3.646,66.857,0.081,0.054,0.477,0.944,0.0,5.081,2.009,2482621,9
DUN Player 100,Dundee,Scottish Premiership,DM,25,2045,0.52,2.659,4.109,0.606,0.09,17.034,2.038,1.66,1.477,59.613,1.391,93.745,0.058,0.061,1.303,2.817,0.057,10.03,3.698,2161335,65
DUN Player 101,Dundee,Scottish Premiership,RWB,28,1864,0.52,3.724,6.527,3.045,0.173,19.525,1.744,1.785,1.665,58.82,2.342,80.248,0.047,0.089,0.322,1.655,0.128,14.344,3.529,2674040,93
DUN Player 102,Dundee,Scottish Premiership,CB,23,2253,0.52,1.048,4.174,0.094,0.01,3.6,1.373,1.295,0.183,65.587,4.775,86.605,0.049,0.055,0.463,0.921,0.001,6.695,2.668,1282353,38
DUN Player 103,Dundee,Scottish Premiership,RW,22,194,0.52,3.98,1.755,2.429,0.229,40.341,0.895,0.634,2.887,48.411,0.637,64.378,0.035,0.152,2.395,6.606,0.197,21.462,1.529,2890415,20
DUN Player 104,Dundee,Scottish Premiership,CM,20,2373,0.52,1.933,7.063,0.688,0.155,22.621,2.454,1.654,1.881,58.875,1.547,82.836,0.036,0.17,0.927,2.0,0.161,23.219,4.108,3527519,50
DUN Player 105,Dundee,Scottish Premiership,RW,24,1683,0.52,3.944,2.64,2.204,0.228,26.259,0.646,0.784,2.246,37.206,0.385,75.426,0.037,0.221,3.093,4.42,0.168,23.183,1.43,5893591,8
DUN Player 106,Dundee,Scottish Premiership,AM,30,1019,0.52,2.634,4.148,0.59,0.129,28.617,2.226,1.301,1.238,54.133,1.053,92.349,0.021,0.09,1.837,2.505,0.155,16.951,3.527,2076103,130
RAP Player 107,Rapid Wien,Austria Bundesliga,RWB,25,2386,0.63,2.511,3.526,2.386,0.037,15.566,1.684,0.839,1.065,37.409,1.23,63.669,0.03,0.0,0.359,1.154,0.023,15.444,2.523,1892107,39
RAP Player 108,Rapid Wien,Austria Bundesliga,CM,30,1880,0.63,1.756,5.376,0.446,0.087,11.685,0.882,1.142,0.567,35.483,1.253,33.635,0.037,0.044,0.785,2.134,0.055,16.839,2.024,960291,40
RAP Player 109,Rapid Wien,Austria Bundesliga,CB,20,2092,0.63,1.066,4.428,0.152,0.0,4.811,1.344,1.925,0.385,69.898,4.114,93.581,0.04,0.082,0.675,1.018,0.073,7.002,3.269,3480979,23
RAP Player 110,Rapid Wien,Austria Bundesliga,CM,20,1439,0.63,1.936,5.133,0.576,0.224,20.313,2.188,1.597,1.342,56.348,2.055,95.0,0.035,0.122,0.952,2.85,0.172,27.173,3.785,6908463,12
RAP Player 111,Rapid Wien,Austria Bundesliga,AM,26,1294,0.63,2.154,5.312,0.34,0.107,20.405,1.72,1.372,0.867,23.151,0.839,81.634,0.042,0.009,1.653,2.524,0.073,18.986,3.092,1447398,24
RAP Player 112,Rapid Wien,Austria Bundesliga,RWB,35,1911,0.63,2.905,3.34,3.113,0.06,18.802,1.968,1.226,1.349,42.593,1.866,64.662,0.064,0.012,0.315,1.262,0.05,14.033,3.194,1616873,19
RAP Player 113,Rapid Wien,Austria Bundesliga,CB,23,2180,0.63,0.818,3.735,0.131,0.115,2.887,1.393,1.41,0.293,63.986,4.594,83.845,0.031,0.008,0.63,1.381,0.09,3.984,2.803,6070029,38
RAP Player 114,Rapid Wien,Austria Bundesliga,CB,24,2747,0.63,0.808,6.919,0.121,0.117,5.7,1.238,2.26,0.363,83.192,5.747,95.0,0.027,0.142,0.674,1.515,0.061,5.109,3.498,8843825,4
RAP Player 115,Rapid Wien,Austria Bundesliga,CM,23,2480,0.63,2.426,5.199,0.888,0.139,21.41,1.973,1.381,1.132,61.958,1.209,95.0,0.001,0.161,1.617,2.354,0.134,15.115,3.354,5974011,1
RAP Player 116,Rapid Wien,Austria Bundesliga,CB,17,690,0.63,0.692,4.059,0.096,0.04,4.344,1.396,1.59,0.299,64.346,4.337,71.912,0.039,0.041,0.458,0.883,0.0,3.467,2.986,2709671,27
RAP Player 117,Rapid Wien,Austria Bundesliga,LB,22,635,0.63,2.842,4.683,2.827,0.176,20.278,1.501,1.478,1.436,67.506,2.245,52.692,0.059,0.124,0.595,1.378,0.087,12.716,2.979,4854776,0
RAP Player 118,Rapid Wien,Austria Bundesliga,LW,28,2070,0.63,3.129,2.718,1.768,0.203,38.066,0.996,0.529,1.068,23.794,0.659,71.473,0.06,0.284,2.18,4.288,0.163,17.258,1.525,5872948,33
RAP Player 119,Rapid Wien,Austria Bundesliga,ST,19,2040,0.63,0.646,0.916,0.304,0.102,21.723,0.501,0.406,1.706,46.04,0.615,58.853,0.0,0.474,2.319,7.814,0.307,16.384,0.907,2751154,23
RAP Player 120,Rapid Wien,Austria Bundesliga,LW,25,1040,0.63,3.538,4.046,1.934,0.218,28.376,0.829,0.432,1.97,35.949,0.651,77.204,0.044,0.288,2.044,6.437,0.137,13.307,1.261,1682694,126
